StationCode,isSWMP,DateTimeStamp,Date,Time,Epoch,TimeFrame,CollMethd,REP,F_Record,PO4F,F_PO4F,NH4F,F_NH4F,NO23F,F_NO23F,CHLA_N,F_CHLA_N
gndbhnut,P,5/23/2005 20:13,5/23/2005,20:13,ME1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbhnut,P,5/23/2005 20:13,5/23/2005,20:13,ME1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbnnut,S,6/20/2005 17:43,6/20/2005,17:43,ME1,E1A,1,1,,1.298,<4>  A                   ,0.077,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbnnut,S,6/20/2005 17:43,6/20/2005,17:43,ME1,E1A,1,2,,1.292,<4>  A                   ,0.095,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndblnut,P,6/20/2005 17:50,6/20/2005,17:50,ME1,E1A,1,1,,0.335,<4>  ,0.014,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndblnut,P,6/20/2005 17:50,6/20/2005,17:50,ME1,E1A,1,2,,0.337,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbcnut,P,6/20/2005 18:03,6/20/2005,18:03,ME1,E1A,1,1,,0.012,<4>  ,0.017,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbcnut,P,6/20/2005 18:03,6/20/2005,18:03,ME1,E1A,1,2,,0.014,<4>  ,0.015,<4>  ,0.01,<4>  B                   ,12.55,<4>  
gndcrnut  ,P,6/20/2005 18:17,6/20/2005,18:17,ME1,E1A,1,1,,0.024,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndcrnut  ,P,6/20/2005 18:17,6/20/2005,18:17,ME1,E1A,1,2,,0.024,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbhnut,P,6/20/2005 18:38,6/20/2005,18:38,ME1,E1A,1,1,,0.01,<4>  B                   ,0.121,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbhnut,P,6/20/2005 18:38,6/20/2005,18:38,ME1,E1A,1,2,,0.01,<4>  B                   ,0.016,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbhnut,P,6/20/2005 18:43,6/20/2005,18:43,ME1,E1A,1,1,,0.01,<4>  B                   ,0.014,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbhnut,P,6/20/2005 18:43,6/20/2005,18:43,ME1,E1A,1,2,,0.01,<4>  B                   ,0.015,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbcnut,P,7/18/2005 17:55,7/18/2005,17:55,ME1,E1A,1,1,,0.01,<4>  B                   ,0.017,<4>  ,0.019,<4>  ,,<4>  D                   
gndbcnut,P,7/18/2005 17:55,7/18/2005,17:55,ME1,E1A,1,2,,0.01,<4>  B                   ,0.029,<4>  ,0.029,<4>  ,,<4>  D                   
gndbnnut,S,7/18/2005 18:05,7/18/2005,18:05,ME1,E1A,1,1,,0.482,<4>  ,0.01,<4>  B                   ,0.016,<4>  ,8.54,<4>  
gndbnnut,S,7/18/2005 18:05,7/18/2005,18:05,ME1,E1A,1,2,,0.478,<4>  ,0.01,<4>  B                   ,0.014,<4>  ,8.01,<4>  
gndblnut,P,7/18/2005 18:10,7/18/2005,18:10,ME1,E1A,1,1,,0.357,<4>  ,0.052,<4>  ,0.013,<4>  ,7.48,<4>  
gndblnut,P,7/18/2005 18:10,7/18/2005,18:10,ME1,E1A,1,2,,0.357,<4>  ,0.01,<4>  B                   ,0.013,<4>  ,6.94,<4>  
gndcrnut  ,P,7/18/2005 18:30,7/18/2005,18:30,ME1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.011,<4>  ,,<4>  D                   
gndcrnut  ,P,7/18/2005 18:30,7/18/2005,18:30,ME1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.014,<4>  ,6.68,<4>  
gndbhnut,P,7/18/2005 19:00,7/18/2005,19:00,ME1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.019,<4>  ,,<4>  D                   
gndbhnut,P,7/18/2005 19:00,7/18/2005,19:00,ME1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.021,<4>  ,,<4>  D                   
gndbhnut,P,7/18/2005 19:05,7/18/2005,19:05,ME1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.013,<4>  ,,<4>  D                   
gndbhnut,P,7/18/2005 19:05,7/18/2005,19:05,ME1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.013,<4>  ,,<4>  D                   
gndbhnut,P,8/16/2005 17:50,8/16/2005,17:50,ME1,E1A,1,1,,0.01,<4>  B                   ,0.054,<4>  ,0.01,<4>  B                   ,7.48,<4>  
gndbhnut,P,8/16/2005 17:50,8/16/2005,17:50,ME1,E1A,1,2,,0.01,<4>  B                   ,0.026,<4>  ,0.01,<4>  B                   ,6.94,<4>  
gndbhnut,P,8/16/2005 17:55,8/16/2005,17:55,ME1,E1A,1,1,,0.01,<4>  B                   ,0.041,<4>  ,0.01,<4>  B                   ,8.81,<4>  
gndbhnut,P,8/16/2005 17:55,8/16/2005,17:55,ME1,E1A,1,2,,0.01,<4>  B                   ,0.062,<4>  ,0.01,<4>  B                   ,7.48,<4>  
gndbcnut,P,8/16/2005 18:20,8/16/2005,18:20,ME1,E1A,1,1,,0.01,<4>  B                   ,0.046,<4>  ,0.01,<4>  B                   ,11.75,<4>  
gndbcnut,P,8/16/2005 18:20,8/16/2005,18:20,ME1,E1A,1,2,,0.01,<4>  B                   ,0.03,<4>  ,0.01,<4>  B                   ,,<4>  D                   
gndblnut,P,8/16/2005 18:36,8/16/2005,18:36,ME1,E1A,1,1,,0.606,<4>  ,0.05,<4>  ,0.01,<4>  B                   ,12.28,<4>  
gndblnut,P,8/16/2005 18:36,8/16/2005,18:36,ME1,E1A,1,2,,0.595,<4>  ,0.042,<4>  ,0.01,<4>  B                   ,13.08,<4>  
gndbnnut,S,8/16/2005 18:46,8/16/2005,18:46,ME1,E1A,1,1,,0.841,<4>  ,0.037,<4>  ,0.01,<4>  B                   ,15.22,<4>  
gndbnnut,S,8/16/2005 18:46,8/16/2005,18:46,ME1,E1A,1,2,,0.863,<4>  ,0.252,<4>  ,0.01,<4>  B                   ,15.22,<4>  
gndpcnut,P,8/16/2005 19:16,8/16/2005,19:16,ME1,E1A,1,1,,0.01,<4>  B                   ,0.026,<4>  ,0.01,<4>  B                   ,7.21,<4>  
gndpcnut,P,8/16/2005 19:16,8/16/2005,19:16,ME1,E1A,1,2,,0.01,<4>  B                   ,0.047,<4>  ,0.01,<4>  B                   ,8.28,<4>  
gndbhnut,P,9/22/2005 9:12,9/22/2005,9:12,,E1A,1,1,,,<4>  K - D               ,0.051,<4>  ,0.024,<4>  ,0.5,<4>  B                   
gndbhnut,P,9/22/2005 9:12,9/22/2005,9:12,,E1A,1,2,,,<4>  K - D               ,0.06,<4>  ,0.024,<4>  ,0.5,<4>  B                   
gndbhnut,P,9/22/2005 9:17,9/22/2005,9:17,,E1A,1,1,,,<4>  K - D               ,0.157,<4>  ,0.03,<4>  ,0.5,<4>  B                   
gndbhnut,P,9/22/2005 9:17,9/22/2005,9:17,,E1A,1,2,,,<4>  K - D               ,0.15,<4>  ,0.035,<4>  ,0.5,<4>  B                   
gndpcnut,P,9/22/2005 10:33,9/22/2005,10:33,,E1A,1,1,,,<4>  K - D               ,0.039,<4>  ,0.022,<4>  ,0.5,<4>  B                   
gndpcnut,P,9/22/2005 10:33,9/22/2005,10:33,,E1A,1,2,,,<4>  K - D               ,0.026,<4>  ,0.019,<4>  ,0.5,<4>  B                   
gndblnut,P,9/22/2005 11:02,9/22/2005,11:02,,E1A,1,1,,,<4>  K - D               ,0.041,<4>  ,0.015,<4>  ,0.5,<4>  B                   
gndblnut,P,9/22/2005 11:02,9/22/2005,11:02,,E1A,1,2,,,<4>  K - D               ,0.055,<4>  ,0.017,<4>  ,0.5,<4>  B                   
gndbnnut,S,9/22/2005 11:12,9/22/2005,11:12,,E1A,1,1,,,<4>  K - D               ,0.024,<4>  ,0.017,<4>  ,0.5,<4>  B                   
gndbnnut,S,9/22/2005 11:12,9/22/2005,11:12,,E1A,1,2,,,<4>  K - D               ,0.02,<4>  ,0.015,<4>  ,0.5,<4>  B                   
gndbcnut,P,9/22/2005 11:36,9/22/2005,11:36,,E1A,1,1,,,<4>  K - D               ,0.038,<4>  ,0.015,<4>  ,0.5,<4>  B                   
gndbcnut,P,9/22/2005 11:36,9/22/2005,11:36,,E1A,1,2,,,<4>  K - D               ,0.029,<4>  ,0.015,<4>  ,0.5,<4>  B                   
gndbhnut,P,10/19/2005 8:30,10/19/2005,8:30,,E1A,1,1,,0.01,<4>  B                   ,0.055,<4>  ,0.029,<4>  ,0.5,<4>  B                   
gndbhnut,P,10/19/2005 8:30,10/19/2005,8:30,,E1A,1,2,,0.01,<4>  B                   ,0.035,<4>  ,0.014,<4>  ,0.5,<4>  B                   
gndbhnut,P,10/19/2005 8:35,10/19/2005,8:35,,E1A,1,1,,0.01,<4>  B                   ,0.066,<4>  ,0.011,<4>  ,0.5,<4>  B                   
gndbhnut,P,10/19/2005 8:35,10/19/2005,8:35,,E1A,1,2,,0.01,<4>  B                   ,0.146,<4>  ,0.011,<4>  ,0.5,<4>  B                   
gndpcnut,P,10/19/2005 9:00,10/19/2005,9:00,,E1A,1,1,,0.021,<4>  ,0.021,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndpcnut,P,10/19/2005 9:00,10/19/2005,9:00,,E1A,1,2,,0.021,<4>  S                   ,0.028,<4>  ,0.024,<4>  ,0.5,<4>  B                   
gndbcnut,P,10/19/2005 9:30,10/19/2005,9:30,,E1A,1,1,,0.01,<4>  B                   ,0.08,<4>  ,0.011,<4>  ,0.5,<4>  B                   
gndbcnut,P,10/19/2005 9:30,10/19/2005,9:30,,E1A,1,2,,0.026,<4>  S                   ,0.098,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndblnut,P,10/19/2005 9:50,10/19/2005,9:50,,E1A,1,1,,0.083,<4>  ,0.102,<4>  ,0.016,<4>  ,0.5,<4>  B                   
gndblnut,P,10/19/2005 9:50,10/19/2005,9:50,,E1A,1,2,,0.085,<4>  S                   ,0.041,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbnnut,S,10/19/2005 10:00,10/19/2005,10:00,,E1A,1,1,,0.176,<4>  S                   ,0.026,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbnnut,S,10/19/2005 10:00,10/19/2005,10:00,,E1A,1,2,,0.429,<4>  S                   ,0.054,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbhnut,P,11/9/2005 14:30,11/9/2005,14:30,PE1,E1A,1,1,,0.01,<4>  B                   ,0.034,<4>  ,0.029,<4>  ,0.5,<4>  B                   
gndbhnut,P,11/9/2005 14:30,11/9/2005,14:30,PE1,E1A,1,2,,0.01,<4>  B                   ,0.028,<4>  ,0.012,<4>  ,0.5,<4>  B                   
gndbhnut,P,11/9/2005 14:35,11/9/2005,14:35,PE1,E1A,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbhnut,P,11/9/2005 14:35,11/9/2005,14:35,PE1,E1A,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndpcnut,P,11/9/2005 14:50,11/9/2005,14:50,PE1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndpcnut,P,11/9/2005 14:50,11/9/2005,14:50,PE1,E1A,1,2,,0.022,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbcnut,P,11/9/2005 15:15,11/9/2005,15:15,PE1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbcnut,P,11/9/2005 15:15,11/9/2005,15:15,PE1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndblnut,P,11/9/2005 15:30,11/9/2005,15:30,PE1,E1A,1,1,,0.01,<4>  ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndblnut,P,11/9/2005 15:30,11/9/2005,15:30,PE1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbnnut,S,11/9/2005 15:40,11/9/2005,15:40,PE1,E1A,1,1,,0.022,<4>  ,0.01,<4>  B                   ,0.01,<4>  ,0.5,<4>  B                   
gndbnnut,S,11/9/2005 15:40,11/9/2005,15:40,PE1,E1A,1,2,,0.034,<4>  ,0.052,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbhnut,P,12/7/2005 14:10,12/7/2005,14:10,PE1,E1A,1,1,,0.01,<4>  B                   ,2.17,<4>  A                   ,0.139,<4>  ,0.5,<4>  B                   
gndbhnut,P,12/7/2005 14:10,12/7/2005,14:10,PE1,E1A,1,2,,0.01,<4>  B                   ,1.968,<4>  A                   ,0.135,<4>  ,0.5,<4>  B                   
gndbhnut,P,12/7/2005 14:15,12/7/2005,14:15,PE1,E1A,1,1,,0.01,<4>  B                   ,0.132,<4>  ,0.135,<4>  ,0.5,<4>  B                   
gndbhnut,P,12/7/2005 14:15,12/7/2005,14:15,PE1,E1A,1,2,,0.01,<4>  B                   ,0.337,<4>  ,0.016,<4>  ,0.5,<4>  B                   
gndpcnut,P,12/7/2005 14:30,12/7/2005,14:30,PE1,E1A,1,1,,0.01,<4>  B                   ,0.096,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndpcnut,P,12/7/2005 14:30,12/7/2005,14:30,PE1,E1A,1,2,,0.016,<4>  ,0.16,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbcnut,P,12/7/2005 14:51,12/7/2005,14:51,PE1,E1A,1,1,,0.01,<4>  B                   ,0.205,<4>  ,0.01,<4>  B                   ,10.95,<4>  
gndbcnut,P,12/7/2005 14:51,12/7/2005,14:51,PE1,E1A,1,2,,0.01,<4>  B                   ,0.222,<4>  ,0.058,<4>  ,0.5,<4>  B                   
gndblnut,P,12/7/2005 15:15,12/7/2005,15:15,PE1,E1A,1,1,,0.019,<4>  ,0.034,<4>  ,0.06,<4>  ,0.5,<4>  B                   
gndblnut,P,12/7/2005 15:15,12/7/2005,15:15,PE1,E1A,1,2,,0.025,<4>  ,0.331,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbnnut,S,12/7/2005 15:25,12/7/2005,15:25,PE1,E1A,1,1,,0.042,<4>  ,0.087,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndbnnut,S,12/7/2005 15:25,12/7/2005,15:25,PE1,E1A,1,2,,0.059,<4>  ,0.179,<4>  ,0.01,<4>  B                   ,0.5,<4>  B                   
gndblnut,P,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndblnut,P,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbhnut,P,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbhnut,P,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndpcnut,P,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndpcnut,P,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbcnut,P,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbcnut,P,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbnnut,S,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbnnut,S,1/17/2006 0:00,1/17/2006,0:00,PE1,E1A,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbhnut,P,1/17/2006 14:45,1/17/2006,14:45,PE1,E1A,1,1,,0.01,<4>  B                   ,0.183,<4>  ,0.121,<4>  ,0.53,<4>  
gndbhnut,P,1/17/2006 14:46,1/17/2006,14:46,PE1,E1A,1,2,,0.046,<4>  ,0.183,<4>  ,0.109,<4>  ,0.5,<4>  B                   
gndbnnut,S,2/13/2006 0:00,2/13/2006,0:00,PE1,E1A,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbnnut,S,2/13/2006 0:00,2/13/2006,0:00,PE1,E1A,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbcnut,P,2/13/2006 10:30,2/13/2006,10:30,PE1,E1A,1,1,,0.01,<4>  B                   ,,<4>  H - M               ,0.035,<4>  ,2.4,<4>  
gndbcnut,P,2/13/2006 10:31,2/13/2006,10:31,PE1,E1A,1,2,,0.01,<4>  B                   ,,<4>  H - M               ,0.059,<4>  ,2.67,<4>  
gndblnut,P,2/13/2006 11:05,2/13/2006,11:05,PE1,E1A,1,1,,0.015,<4>  ,,<4>  H - M               ,0.043,<4>  ,0.5,<4>  B                   
gndblnut,P,2/13/2006 11:06,2/13/2006,11:06,PE1,E1A,1,2,,0.016,<4>  ,,<4>  H - M               ,0.037,<4>  ,0.5,<4>  B                   
gndpcnut,P,2/13/2006 12:10,2/13/2006,12:10,PE1,E1A,1,1,,0.01,<4>  B                   ,,<4>  H - M               ,0.031,<4>  ,0.5,<4>  B                   
gndpcnut,P,2/13/2006 12:11,2/13/2006,12:11,PE1,E1A,1,2,,0.01,<4>  B                   ,,<4>  H - M               ,0.03,<4>  ,0.5,<4>  B                   
gndbhnut,P,2/13/2006 13:15,2/13/2006,13:15,PE1,E1A,1,1,,0.01,<4>  B                   ,,<4>  H - M               ,0.085,<4>  ,0.5,<4>  B                   
gndbhnut,P,2/13/2006 13:16,2/13/2006,13:16,PE1,E1A,1,2,,0.01,<4>  B                   ,,<4>  H - M               ,0.012,<4>  ,0.5,<4>  B                   
gndbhnut,P,2/13/2006 13:20,2/13/2006,13:20,PE1,E1A,1,1,,0.01,<4>  B                   ,,<4>  H - M               ,0.011,<4>  S                   ,2,<4>  
gndbhnut,P,2/13/2006 13:21,2/13/2006,13:21,PE1,E1A,1,2,,0.01,<4>  B                   ,,<4>  H - M               ,0.036,<4>  ,4.67,<4>  
gndbhnut,P,3/27/2006 0:00,3/27/2006,0:00,PE1,E1A,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbhnut,P,3/27/2006 0:00,3/27/2006,0:00,PE1,E1A,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbhnut,P,3/27/2006 7:10,3/27/2006,7:10,PE1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  H - B               ,0.067,<4>  ,1.07,<4>  
gndbhnut,P,3/27/2006 7:11,3/27/2006,7:11,PE1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  H - B               ,0.046,<4>  ,1.07,<4>  
gndpcnut,P,3/27/2006 7:30,3/27/2006,7:30,PE1,E1A,1,1,,0.012,<4>  ,0.01,<4>  H - B               ,0.081,<4>  ,0.8,<4>  
gndpcnut,P,3/27/2006 7:31,3/27/2006,7:31,PE1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  H - B               ,0.085,<4>  ,0.67,<4>  
gndblnut,P,3/27/2006 7:50,3/27/2006,7:50,PE1,E1A,1,1,,0.023,<4>  ,0.01,<4>  H - B               ,0.057,<4>  ,1.07,<4>  
gndblnut,P,3/27/2006 7:51,3/27/2006,7:51,PE1,E1A,1,2,,0.023,<4>  ,0.01,<4>  H - B               ,0.064,<4>  ,1.07,<4>  
gndbnnut,S,3/27/2006 7:55,3/27/2006,7:55,PE1,E1A,1,1,,0.04,<4>  ,0.01,<4>  H - B               ,0.071,<4>  ,1.34,<4>  
gndbnnut,S,3/27/2006 7:56,3/27/2006,7:56,PE1,E1A,1,2,,0.043,<4>  ,0.01,<4>  H - B               ,0.057,<4>  ,1.2,<4>  
gndbcnut,P,3/27/2006 8:10,3/27/2006,8:10,PE1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  H - B               ,0.048,<4>  ,1.6,<4>  
gndbcnut,P,3/27/2006 8:11,3/27/2006,8:11,PE1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  H - B               ,0.043,<4>  ,1.6,<4>  
gndbhnut,P,4/24/2006 4:25,4/24/2006,4:25,PE1,E1A,1,1,,0.01,<4>  B                   ,0.025,<4>  ,0.01,<4>  B                   ,1.34,<4>  
gndbhnut,P,4/24/2006 4:26,4/24/2006,4:26,PE1,E1A,1,2,,0.01,<4>  B                   ,0.014,<4>  ,0.01,<4>  B                   ,1.34,<4>  
gndbhnut,P,4/24/2006 4:30,4/24/2006,4:30,PE1,E1A,1,1,,0.01,<4>  B                   ,0.153,<4>  ,0.01,<4>  B                   ,1.87,<4>  
gndbhnut,P,4/24/2006 4:31,4/24/2006,4:31,PE1,E1A,1,2,,0.01,<4>  B                   ,0.065,<4>  ,0.01,<4>  B                   ,3.34,<4>  
gndpcnut,P,4/24/2006 4:52,4/24/2006,4:52,PE1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,1.34,<4>  
gndpcnut,P,4/24/2006 4:53,4/24/2006,4:53,PE1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,1.47,<4>  
gndblnut,P,4/24/2006 5:14,4/24/2006,5:14,PE1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,1.47,<4>  
gndblnut,P,4/24/2006 5:15,4/24/2006,5:15,PE1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,1.47,<4>  
gndbnnut,S,4/24/2006 5:24,4/24/2006,5:24,PE1,E1A,1,1,,0.035,<4>  S                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,1.34,<4>  
gndbnnut,S,4/24/2006 5:25,4/24/2006,5:25,PE1,E1A,1,2,,0.036,<4>  S                   ,0.011,<4>  ,0.01,<4>  B                   ,1.34,<4>  
gndbcnut,P,4/24/2006 5:39,4/24/2006,5:39,PE1,E1A,1,1,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,1.74,<4>  
gndbcnut,P,4/24/2006 5:40,4/24/2006,5:40,PE1,E1A,1,2,,0.01,<4>  B                   ,0.01,<4>  B                   ,0.01,<4>  B                   ,1.6,<4>  
gndbnnut,S,5/29/2006 0:00,5/29/2006,0:00,PE1,E1A,1,1,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
gndbnnut,S,5/29/2006 0:00,5/29/2006,0:00,PE1,E1A,1,2,,,<4>  M                   ,,<4>  M                   ,,<4>  M                   ,,<4>  M                   
